ISBN,書籍簡介
9789865028756,"資料結構(Data Structures)是資訊學科的核心課程之一，也是基礎和必修的科目。本書確實闡述資料結構的重要主題，並以圖文並茂的方式表達，最能達到教學與學習事半功倍的效果。 各章的每一小節幾乎都附有「練習題」，讓讀者能藉由測驗，評量自己對此節的了解程度；而書末亦附有這些練習題的參考解答。各章末再附上「動動腦時間」，這些題目取自歷屆的高考或研究所考試題目，或是筆者根據內文加以設計的題目，每道題目後面皆標示出自的章節數，表示只要詳讀該節即可輕鬆地作答。 除了第一章和第九章外，皆有完整的「程式實作」，並在第二版中加以編修成更精簡與可讀性，以供讀者驗證其理論。"
9789865035068,資料結構在資料相關的領域上是一門重要的學科，本書的內容依不同的主題分為14章。在每一章的每一小節中，均附有練習題及類似題，旨在讓讀者測試對此一小節所談及的內容，是否已全盤了解。在每章章末有「動動腦時間」，並標註該題的相關章節，讓本書不僅為一本自修的好書，更適合學校授課之用。每章的重要主題均附有程式加以測試，以期讓讀者對理論能有進一步的認識與了解。
9789868417816,"本書是以C語言為程式撰寫工具，內含完整的資料結構相關主題，每一章除了基本的觀念介紹、程式實作，還有相關的應用範例說明。
為了提供深入的問題討論，每一章都附有具挑戰性的專題研究，包括：造成全民運動的樂透彩券開獎與派彩常見於硬碟讀取的電梯演算法趣味的騎士巡邏問題風靡全球的數獨遊戲應用於工程電子計算機的運算式求值自動產生文章關鍵字的交互參照拓樸排序尋找平面座標點的凸多邊形文字猜謎遊戲此外，每章最後都附有豐富多元的基礎和進階練習題，幫助學生複習與加深印象，並能有效驗收學習成效。"
9789868417823,"難易適中，為資料結構最佳的入門書以豐富C++程式範例，實作各種演算法程式實作的習題，提昇程式寫作技巧大量示意圖，清楚描述複雜的演算法安排大量習題，確實掌握考試核心重點
這是一本適用大專院校資料結構相關課程所編著的教材，全書以最常被討論的資料結構的主題作為本書的介紹主軸，包括程式效能分析、陣列、堆疊、佇列、鏈結串列、樹狀結構、圖形與網路、排序與搜尋等。書中除了詳述各種資料結構理論外，並以大量範例來強化各種演算法的練習。
以C++程式語言實作資料結構中的重要理論，適合老師教學及學生自習的工具書。書中除了傳授各種理論外，並以「範例演練」與「程式實作」互相搭配的方式，兼具資料結構理論的說明及實務的操作。各章結束前安排研究所、高普考常考的相關性習題，除了可以作為老師驗收教學成效外，更可以提供學生作為重要考試的準備方向。隨書附贈光碟包含本書所有範例程式，省去各位重新鍵入程式碼的困撓，提昇學習成效。"
9789868417847,"難易適中，為資料結構最佳的入門書以豐富C語言程式範例，實作各種演算法程式實作的習題，提昇程式寫作技巧大量示意圖，清楚描述複雜的演算法安排大量習題，確實掌握考試核心重點
這是一本適用大專院校資料結構相關課程所編著的教材，全書以最常被討論的資料結構的主題作為本書的介紹主軸，包括程式效能分析、陣列、堆疊、佇列、鏈結串列、樹狀結構、圖形與網路、排序與搜尋等。書中除了詳述各種資料結構理論外，並以大量範例來強化各種演算法的練習。
以C程式語言實作資料結構中的重要理論，適合老師教學及學生自習的工具書。書中除了傳授各種理論外，並以「範例演練」與「程式實作」互相搭配的方式，兼具資料結構理論的說明及實務的操作。各章結束前安排研究所、高普考常考的相關性習題，除了可以作為老師驗收教學成效外，更可以提供學生作為重要考試的準備方向。隨書附贈光碟包含本書所有範例程式，省去各位重新鍵入程式碼的困撓，提昇學習成效。"
9789867198716,0
9789867693808,以實務角度詳細說明資料結構的觀念和實作，且輔以大量程式實例來加強解說，提供大量表格、範例和圖例來說明各種資料結構的觀念和演算法步驟，並使用Java 2語言實作，以物件導向的類別（Class）、繼承、巢狀類別和介面來實作各種常用資料結構的抽象資料型態ADT。最後並說明Java語言的集合物件（Collections），以及如何使用集合物件來建立資料結構。 ‧ 圖解式學習循序漸進說明各種資料結構的觀念和實作，以實務角度解說資料結構的應用，並使用圖例一步一步解說問題。‧ 完整的範例程式碼書中範例均提供完整程式碼，清楚呈現如何使用資料結構相關理論來解決問題，讓程式執行更有效率，可以幫助程式設計者快速擴大視野。
9789863457923,本書收錄公職考試【資料結構】101~108年共八年的(申論試題)試題詳解，幫助您一次準備全面應戰、協助您熟悉題型順利上榜。　　本書收錄科目包含：資料結構。　　本書收錄考試包含：關務三等、高考三級、技師考試、地方特考。
9789864344673,■考試得高分：提供考試偷撇步，教你如何快速寫出前序、中序、後序走訪。考試不必陷入遞迴的追蹤。 ■學習超簡單：提供學習資料結構的利器——動態影片，透過動畫幫助你理解演算過程的變化。 ■漸進式學習：慢慢地逐步加入C語言進階技術講解，從頭學起。 ■焦點最集中：挑選資訊領域必備的，基礎資料結構做為主要內容。 ■觀念最新穎：以新的抽象化概念，來看待資料結構與程式的關係。從多面向來說明什麼是資料結構，為何要學習資料結構。 動畫展示——學習資料結構與演算法的不二法門 一、動態的表達 資料結構最適合的學習方式應該是動態的，由於平面書籍的限制，因此，常常造成讀者的學習困難，本書提供動態影片來解說各種資料結構的運算與排序搜尋演算法，使讀者能夠先理解，然後自然地產生興趣。 作者特將動態影片轉為長達至少38分鐘的影片檔，並將部分預覽放置於youtube 請上youtube搜尋「資料結構 初學指引 陳錦輝」關鍵字； 相對於網路上本書的免費影片，由本書官網下載的動態影片，還可自由暫停與調整播放速度，學習更方便。 二、循序漸進的學習 初學者在學習資料結構的初期，最大的困難在於看不懂C程式，本書提供虛擬碼及C函式雙格式的演算法，幫助讀者理解，並且搭配「老師的叮嚀」、「小試身手」等階段式的步驟，循序漸進地讓讀者複習C語言，並在程式碼旁增加大量說明框，讀者能夠快速理解程式碼與圖形的對應，不但能學會資料結構，更能在程式中活用。 三、基本觀念的建立 許多人常常認為堆疊是堆疊、樹是樹、陣列是陣列、鏈結是鏈結，之間並無關係，問他什麼是二元樹時，只會畫出二元樹的抽象圖，但不能理解其底層的實作。或許能用筆寫出二元樹走訪結果，但無法以程式來實作。本書在第一章就先闡明資料結構的層次，讓讀者在學習整套課程之前，先有心理準備，避免片段式學習。 四、多元學習 本書包含抽象化觀念的建立、考試偷撇步、Coding偷撇步、學生與老師的QA、延伸學習、大量習題等，滿足各方面的學習需求。
9789865004422,本書以淺顯易懂的方式，透過圖文並茂、圖解說明豐富的內容，讓您學習如何設計良好的資料結構及演算法，進而設計高效率的程式。詳盡解說各種資料結構，讓讀者掌握資料結構的精髓。
