書名,書籍網址,作者,出版社,ISBN,圖片網址
精通Vi與Vim (第7版),https://www.eslite.com/product/1001124691840492,"Robbins, Arnold / Linda Lamb Elbert Hannah",學貫行銷股份有限公司,9789866840326,https://s.eslite.dev/Upload/Product/200904/l/633752393455312500.jpg
用輕量級Web平台開發重量級應用網頁,https://www.eslite.com/product/1001239292666661,邱俊濤,佳魁資訊股份有限公司,9789863796374,https://s.eslite.dev/Upload/Product/201803/l/636579091009322500.jpg
Ruby on Rails自習手冊: 邁向鐵道工人之路,https://www.eslite.com/product/1001120322394430,簡煒航,博碩文化股份有限公司,9789862019948,https://s.eslite.dev/Upload/Product/201502/l/635591538682986250.jpg
吉貝托式森巴,https://www.eslite.com/product/1004123602367570,吉貝托．吉爾,台灣索尼音樂娛樂股份有限公司,0888430829121,https://s.eslite.dev/Upload/Product/201410/l/635489711789680000.jpg
