ISBN,書籍簡介
9780870703621,多媒體藝術盛行，使藝術家的創作技法愈趨自由，不同領域如建築、設計、攝影、裝置相互衍生，然溯其創意的源頭，多半還是集中表現在基礎的草圖或素描之上，紐約現代美術館（MoMA）將館內收藏二十六位具有國際聲譽的藝術家如John Currin、Elizabeth Peyton、Paul Noble、奈良美智所繪的百餘件素描作品，以建築草圖、心靈圖像、大眾文化、都市願景、科學藝術、諷刺漫畫等八大主題分析整理。
9783791323947,本書是Prestel出版社《Icons of the 20thCentury》書系的其中一本，此系列還包括建築、美術、設計、攝影等藝術類型。全書按照年序挑選百年來的經典影片，從卓別林的《摩登時代》、穆瑙的《吸血鬼》，到近年的熱門片《駭客任務》、《美國心玫瑰情》。每部影片皆以跨頁的篇幅介紹，搭配印刷精美的劇照以及導演小傳，以及影片相關資訊簡表，兼顧電影指南及攝影集雙重功能。
,一年發刊四次的winq.(原mate.)，編輯部位於荷蘭阿姆斯特丹。著重於報導全球同志文化現象、人物專訪，同時也是一本兼具潮流、時尚、生活與設計美學的雜誌。版面設計、攝影與圖像，有著荷蘭設計美學的風格，乾淨、清爽而富於趣味感的設計，同時具有平面設計所追求的美感設計以及雜誌的易於閱讀性。是每一位喜愛美好事物、富於文化性生活的男同志們，以及想要了解男同志生活文化的族群，最佳品味雜誌。
,這本來自波蘭華沙的Thisispaper，自己有經營一個網路平台販售自有商品，同時也發行本刊。在此，收集了許多設計師與藝術家的故事，主題包括時尚、設計、攝影與建築領域。本刊限量1000本，每本皆有獨立的編號。
,一年發刊四次的winq.(原mate.)，編輯部位於荷蘭阿姆斯特丹。著重於報導全球同志文化現象、人物專訪，同時也是一本兼具潮流、時尚、生活與設計美學的雜誌。版面設計、攝影與圖像，有著荷蘭設計美學的風格，乾淨、清爽而富於趣味感的設計，同時具有平面設計所追求的美感設計以及雜誌的易於閱讀性。是每一位喜愛美好事物、富於文化性生活的男同志們，以及想要了解男同志生活文化的族群，最佳品味雜誌。
,Bricks是一本獨立的時尚攝影雜誌，總部設在英格蘭西南部的布里斯托爾（Bristol），這是位於英格蘭西南部Bricks的創意中心。Bricks的內容著重在設計、攝影和造型。這本季刊不斷發掘時尚新秀，並且能夠培養出協同創意合作的領袖人物。Bricks的讀者都是充滿熱情與好奇心的一群人，對於名人時尚深感厭倦，而且對服飾以及生活態度能夠提出獨特想法和具體方案的菁英。多數讀者是就讀流行時尚相關科系的年輕學生，或是職場上學有專精的專業人士。他們共同的愛好包括音樂、設計和時尚造型。
,一年發刊四次的winq.(原mate.)，編輯部位於荷蘭阿姆斯特丹。著重於報導全球同志文化現象、人物專訪，同時也是一本兼具潮流、時尚、生活與設計美學的雜誌。版面設計、攝影與圖像，有著荷蘭設計美學的風格，乾淨、清爽而富於趣味感的設計，同時具有平面設計所追求的美感設計以及雜誌的易於閱讀性。是每一位喜愛美好事物、富於文化性生活的男同志們，以及想要了解男同志生活文化的族群，最佳品味雜誌。
,這本半年刊，通過時尚、設計、攝影和藝術，圍繞一個主題和美學的探討，用影像喚起讀者的興趣。在中國古老的傳說當中，所謂「牽紅線」就是把看似無關的人事物，用緣份串在一起。這條無形的紅線，就是本刊想要扮演的角色，超越藩籬。
,Bricks是一本獨立的時尚攝影雜誌，總部設在英格蘭西南部的布里斯托爾（Bristol），這是位於英格蘭西南部Bricks的創意中心。Bricks的內容著重在設計、攝影和造型。這本季刊不斷發掘時尚新秀，並且能夠培養出協同創意合作的領袖人物。Bricks的讀者都是充滿熱情與好奇心的一群人，對於名人時尚深感厭倦，而且對服飾以及生活態度能夠提出獨特想法和具體方案的菁英。多數讀者是就讀流行時尚相關科系的年輕學生，或是職場上學有專精的專業人士。他們共同的愛好包括音樂、設計和時尚造型。
9784891947255,"日本著名小說家寺山修司(1935-1983)的長篇小說『啊～、荒野』，初版於1966年，是他的第一部長篇小說，也是他生前遺留下來唯一的長篇鉅作。本書以寺山修司的原著，搭配森山大道211張攝影作品，在睽違40年後以全新的姿態重新發行。

「來打拳擊吧。你一定能夠成為出色的拳擊手！」故事以六O年代的新宿、一個無名、未知的荒野為舞台，描寫孤獨的拳擊手「BARIKAN」與新次的青春物語；描述勇氣、毅力以及如何克服逆境的故事情節，與當年作者所沉迷的人氣漫畫「拳壇風雲」(あしたのジョー；SOUL OF JOE　1967年原載於「少年週刊」高森昭雄-原作、千葉彌徹-繪)有異曲同工之妙。

攝影部分為攝影師─森山大道從60年代起，歷經40餘年連續拍攝「新宿」的風景照片。書本設計、攝影編輯則由年輕的藝術指導─町田覺擔任。"
,Made是一本精品期刊，出版商2007年開始在墨爾本（澳大利亞）和紐約（美國）都有辦事處。該出版商所發行的雜誌和書籍專門從事設計、攝影、時尚、藝術、建築、健康和生活方式成立於2007年。重點放在高素質的內容和高單價商品。Made 相信，印刷和電子書可以和諧相處，不會互為消長。
,這本半年刊，通過時尚、設計、攝影和藝術，圍繞一個主題和美學的探討，用影像喚起讀者的興趣。在中國古老的傳說當中，所謂「牽紅線」就是把看似無關的人事物，用緣份串在一起。這條無形的紅線，就是本刊想要扮演的角色，超越藩籬。
